PreFlop,Flop,Turn,River,Cards,Chips Won/Lost,Big,Small
r300r900c,r2250f,,,AcJs3d2dKc5sQc,900|-900,qin.youwei.1,DeepStack 
r200r600f,,,,Ac9cTs5h,200|-200,DeepStack,qin.youwei.1 
f,,,,As8d8c3h,50|-50,qin.youwei.1,DeepStack 
r20000f,,,,Jd2c2d2h,-100|100,DeepStack,qin.youwei.1 
cr500c,k,k,k,ThAsAc6cQd2h7c5d6d,-500|500,qin.youwei.1,DeepStack 
r300c,r400r1200c,k,k,8s7h9d7d2dQh8cKd6c,1200|-1200,qin.youwei.2,DeepStack 
k,k,cr400f,,2c3hQc9sJd3c4hQh,-100|100,DeepStack,qin.youwei.1 
r300c,cr500c,k,k,Ac6dJsAsTc4s7h8h3h,-500|500,DeepStack,qin.youwei.2 
r300f,,,,8hQd9h6h,-100|100,qin.youwei.1,DeepStack 
r200c,cr400c,cr600c,cr1400c,Jc8hKd9d3d3s8c5dKh,-1400|1400,DeepStack,qin.youwei.1 
k,k,k,k,2c9sTc4s3h6dKsAc2h,100|-100,qin.youwei.2,DeepStack 
k,k,cr300c,k,6s8hTc5cAc5h8d2d2c,300|-300,DeepStack,qin.youwei.2 
r200c,k,k,k,2cJh8s6d8cTsAcKh4d,-200|200,qin.youwei.1,DeepStack 
r300c,r600f,,,Qh7d6dTc8h4sAs,300|-300,qin.youwei.2,DeepStack 
k,cr400f,,,9dTcQs4c5dJs5h,-100|100,DeepStack,qin.youwei.1 
cr300f,,,,9dJhTs4d,100|-100,DeepStack,qin.youwei.2 
r300f,,,,6sJd9d2d,-100|100,qin.youwei.1,DeepStack 
r300r1000c,cr2000r3400r6800r10500r20000c,,,JcAh5c5sJdJs5dJhTc,20000|-20000,qin.youwei.2,DeepStack 
r300r900r1800r3600c,cr9000f,,,JcKdAsQd3h2s2d,-3600|3600,DeepStack,qin.youwei.1 
r200f,,,,2d8h7d8d,-100|100,DeepStack,qin.youwei.2 
r300c,k,k,k,9dThAcKs2d6s8s3h5c,-300|300,qin.youwei.1,DeepStack 
f,,,,5cJs4s2h,50|-50,qin.youwei.2,DeepStack 
cr300f,,,,8c8s2h5c,100|-100,DeepStack,qin.youwei.2 
k,k,k,k,Jd6hTh3s9h7d4s7s9d,100|-100,qin.youwei.2,DeepStack 
r200r600c,r1200f,,,7dKdJd9d3d7cTc,600|-600,DeepStack,qin.youwei.1 
cr300c,k,r600f,,JsKh8c5cJh5sAhKs,300|-300,qin.youwei.1,DeepStack 
k,k,r200c,r400r2000c,Td7cTh5cJc3d9h8cQh,0|0,DeepStack,qin.youwei.2 
cr300c,r600c,cr1200f,,AsTs2c8h6d2s9h5d,-600|600,DeepStack,qin.youwei.1 
f,,,,5sKsAh4d,50|-50,qin.youwei.2,DeepStack 
r300c,r600f,,,8d7d6sAh4h7hJd,300|-300,qin.youwei.1,DeepStack 
f,,,,7s3d3s9c,50|-50,qin.youwei.2,DeepStack 
cr300f,,,,AsTs5d2s,100|-100,DeepStack,qin.youwei.2 
k,cr300c,cr600f,,7hQdJd2s9cAsAh3s,-300|300,DeepStack,qin.youwei.1 
r300c,r750f,,,Qd5dAsKh3h5s4c,300|-300,qin.youwei.2,DeepStack 
r300r900r2000c,cr5000c,cr10000r20000c,,Td9dAcAhKhJhQsKs5h,20000|-20000,DeepStack,qin.youwei.2 
f,,,,5s9d8c3s,50|-50,qin.youwei.1,DeepStack 
cr300c,r600c,k,k,4h6d8s2sJh6s3s5d8h,-600|600,DeepStack,qin.youwei.1 
r300r500c,r600c,k,r1200c,Ac3c5c2c4dKhQs5hAd,1200|-1200,qin.youwei.1,DeepStack 
k,r200f,,,3s6c9d4sAs2c5c,100|-100,qin.youwei.2,DeepStack 
r400f,,,,4h2s5d5h,-100|100,DeepStack,qin.youwei.2 
r200c,k,k,k,3hAd5dKd6hTc7cQh9h,200|-200,DeepStack,qin.youwei.1 
r300r600c,r1500f,,,9h6c3dAh4cTc9c,600|-600,qin.youwei.2,DeepStack 
k,cr200f,,,Qd3h3d9c7s9d4h,-100|100,DeepStack,qin.youwei.2 
cr500c,r600c,k,k,4h4d7dAd9d2cJsTh6s,600|-600,qin.youwei.1,DeepStack 
r300r750c,r950r1900f,,,5c9d6sJs6d2d6h,-950|950,qin.youwei.2,DeepStack 
r200c,cr600f,,,Jc6s9dQh7dQc9s,-200|200,DeepStack,qin.youwei.1 
k,k,cr300f,,2s8c8h5cAdJh7d9d,-100|100,qin.youwei.2,DeepStack 
r300c,cr600f,,,5s7d6dJhKc6cKd,-300|300,qin.youwei.1,DeepStack 
r200c,k,r400c,r1200f,TsAc4hJdTdKc9c3h2h,400|-400,DeepStack,qin.youwei.2 
r200c,cr500f,,,6h7sTh5hKsJs3s,-200|200,DeepStack,qin.youwei.1 
k,cr200c,k,cr600f,6c5hAd5s4h9hAcJsQc,-200|200,qin.youwei.1,DeepStack 
r300c,cr600f,,,7sQc7c5d4hKd2c,-300|300,qin.youwei.2,DeepStack 
r400f,,,,2c6c3h5c,-100|100,DeepStack,qin.youwei.2 
k,k,r200r400c,k,2cQs7hQh5c2h8s7cAc,-400|400,DeepStack,qin.youwei.1 
cr400f,,,,KcAd7c3d,100|-100,qin.youwei.2,DeepStack 
r500c,cr1250c,cr3125r9375f,,5hAdQc5d4c4d2h8d,3125|-3125,DeepStack,qin.youwei.2 
cr500c,r1250c,r3125c,r7812f,2h3h2dQdKc2s6h4d5d,3125|-3125,qin.youwei.1,DeepStack 
f,,,,7h3c7d3h,50|-50,qin.youwei.2,DeepStack 
r500r1500r2500c,cr7500c,cr20000f,,9s8sQsAs7h4s5sQc,-7500|7500,DeepStack,qin.youwei.2 
r500f,,,,9sAh5c7s,-100|100,DeepStack,qin.youwei.1 
cr225c,r550r1100f,,,5dJd6h4h7hKs8h,-550|550,takeda.tsuneaki.1,DeepStack 
r200c,cr400r800f,,,2sAd7c9sAc3s3c,400|-400,qin.youwei.2,DeepStack 
r200c,k,cr600f,,8d6c4cAdThQh7hTd,-200|200,DeepStack,qin.youwei.2 
r300r500c,r1100f,,,Jd2dKc2c5s9s3d,500|-500,qin.youwei.1,DeepStack 
k,cr225f,,,7dJh4s9c2d5dQh,-100|100,DeepStack,takeda.tsuneaki.1 
r500r1500f,,,,KdAdJc4d,500|-500,DeepStack,qin.youwei.1 
r200c,cr600f,,,Jc4dQd9c8h2cTh,-200|200,qin.youwei.2,DeepStack 
r300f,,,,2cJd4hAh,-100|100,qin.youwei.1,DeepStack 
cr225c,r500c,k,r950c,7cJc8c9h5s9dJdQdJs,950|-950,takeda.tsuneaki.1,DeepStack 
r200c,k,r600r1000c,cr3000c,8h3h7h9c4d4s4h3c6s,3000|-3000,DeepStack,qin.youwei.2 
r200c,cr400f,,,7c8d2h9d9h9sKc,-200|200,DeepStack,qin.youwei.1 
r300r500c,r800r1600c,cr4800f,,Ac2s9cJd3d5c7s3s,-1600|1600,qin.youwei.1,DeepStack 
cr300f,,,,5h7h6h9s,100|-100,DeepStack,takeda.tsuneaki.1 
r300r700f,,,,AhTcQs6d,300|-300,qin.youwei.2,DeepStack 
cr275f,,,,7c2d5d9s,100|-100,takeda.tsuneaki.1,DeepStack 
k,k,r300c,r900f,7d4c2h9d4d7hTc8c2c,300|-300,DeepStack,takeda.tsuneaki.1 
cr300c,k,k,k,AdJd4c2c8sKh6h3hKc,300|-300,DeepStack,qin.youwei.2 
r300f,,,,4sJsAc9d,-100|100,takeda.tsuneaki.1,DeepStack 
r225c,cr550f,,,Qd2cQsTs4h4d5s,-225|225,DeepStack,takeda.tsuneaki.1 
r300r500c,r1250f,,,8sJd5cAd7h6sJs,500|-500,qin.youwei.2,DeepStack 
cr200c,r500f,,,Jd8h4d9hQdTs3c,200|-200,qin.youwei.1,DeepStack 
r200c,r425f,,,6sTs4dAdTc2s8s,200|-200,takeda.tsuneaki.1,DeepStack 
k,k,cr300f,,Td5sAs5c8c8h3hKs,-100|100,DeepStack,qin.youwei.2 
r300c,cr750c,cr1875c,k,TdKhAhThKcAdJc3h2c,-1875|1875,DeepStack,qin.youwei.1 
r200f,,,,Tc3d5dJc,-100|100,DeepStack,takeda.tsuneaki.1 
cr200c,r300c,k,cr600c,7hAc8cQcJcTdQdAs9d,-600|600,takeda.tsuneaki.1,DeepStack 
r300c,k,k,k,4c5sQdKh6c6h2hAhQs,-300|300,qin.youwei.2,DeepStack 
r200c,cr425c,cr875c,k,7h4d8d3d4h7s3s6d8h,-875|875,DeepStack,takeda.tsuneaki.1 
r300r500r1000c,cr2000r3700f,,,As3cJs5hKc6cQc,2000|-2000,qin.youwei.1,DeepStack 
k,k,k,k,Kh4c3h2c8d6c9dTh7h,0|0,DeepStack,qin.youwei.2 
k,k,k,r200c,6c2d9s7c9dTdAcTh5c,-200|200,DeepStack,qin.youwei.1 
r300c,k,r625c,k,Ts9cAhTh7s9d4s2h5c,625|-625,takeda.tsuneaki.1,DeepStack 
r300f,,,,3cTcJcAd,-100|100,qin.youwei.2,DeepStack 
f,,,,3hKs2c4h,50|-50,qin.youwei.1,DeepStack 
r200f,,,,Jh5cTh4s,-100|100,DeepStack,qin.youwei.1 
r200r600c,r1200c,cr3000c,cr9000f,AdAcTs8c7hKc6d9c6c,-3000|3000,DeepStack,qin.youwei.2 
cr500f,,,,JhQh4c9h,100|-100,qin.youwei.1,DeepStack 
cr200c,r400r600r1200f,,,5h4sJc9d8s6d6c,600|-600,DeepStack,qin.youwei.1 
r200r300c,cr600f,,,Ac3cKc6sTsKd2d,-300|300,qin.youwei.2,DeepStack 
r200r300r600c,cr1200f,,,8d5d6dQcTcAcKc,-600|600,qin.youwei.1,DeepStack 
r200c,k,k,k,6cTc2s9sQdJd4c5h4h,200|-200,DeepStack,qin.youwei.2 
cr300f,,,,4d2d7c4s,100|-100,DeepStack,qin.youwei.1 
k,cr200f,,,Jc5d6s7hTh6h4d,-100|100,qin.youwei.2,DeepStack 
f,,,,JsAcJh8d,50|-50,qin.youwei.1,DeepStack 
r200c,cr400f,,,7dKsTd3d2h8dAh,-200|200,DeepStack,qin.youwei.2 
f,,,,3s8c3h9c,50|-50,qin.youwei.1,DeepStack 
r200c,cr300c,k,r600c,As9c5c9d8s9sJdTs4s,600|-600,DeepStack,qin.youwei.1 
k,r200c,k,cr600c,5s7dJdTdKcTh5h6d8d,-600|600,qin.youwei.2,DeepStack 
k,cr200r400f,,,Ts6c8dAhJc9s3d,200|-200,qin.youwei.1,DeepStack 
r300c,cr500c,cr1000c,cr2500f,3sAc2dAd2c4d6h6cQd,-1000|1000,DeepStack,qin.youwei.2 
k,cr250c,r500f,,QcJh4sKhAsJs3h5c,250|-250,DeepStack,qin.youwei.1 
r300c,cr600f,,,Kh5hTh6dJc2dJd,-300|300,qin.youwei.2,DeepStack 
k,cr200r400c,r800c,cr1700r5100f,4dJd4c7h8cJc7d6d3d,1700|-1700,DeepStack,takeda.tsuneaki.1 
f,,,,5cTs7s3h,50|-50,qin.youwei.1,DeepStack 
cr300c,cr600f,,,4c6hKs4hAh8d9d,-300|300,DeepStack,qin.youwei.1 
r200c,cr400f,,,Jh5sAh6d6c4cKh,-200|200,DeepStack,qin.youwei.2 
k,k,r250c,r625r20000c,8h3dAdTh8d9sQs3c5h,20000|-20000,qin.youwei.1,DeepStack 
r300c,cr900f,,,8d7dTs9cJs3sJd,-300|300,qin.youwei.2,DeepStack 
r300c,cr900f,,,Qh6dQcQs9h4hJs,-300|300,takeda.tsuneaki.1,DeepStack 
r200c,k,cr500f,,2hQdQcTs3h5s3s4s,-200|200,DeepStack,qin.youwei.2 
f,,,,2d9s2c7h,50|-50,DeepStack,qin.youwei.1 
f,,,,TsKd7h3s,50|-50,DeepStack,takeda.tsuneaki.1 
r200c,r425r850c,cr2549f,,Qh4cTsTc4s8c2d9h,-850|850,takeda.tsuneaki.1,DeepStack 
r300c,r900c,r4500c,r20000f,7sTh6s9s9d6d8d3s3c,4500|-4500,qin.youwei.1,DeepStack 
r200c,cr500f,,,Kd4cAd6sJh9s2d,-200|200,DeepStack,takeda.tsuneaki.1 
r300f,,,,4c7c8h5h,-100|100,qin.youwei.2,DeepStack 
r300c,k,r550f,,3dKcQc4h7sAd6d9d,300|-300,takeda.tsuneaki.1,DeepStack 
cr300f,,,,KsTsTh2s,100|-100,DeepStack,qin.youwei.1 
r600c,cr1500c,k,r3000c,QhTdJcJh9s9hQc9c4s,3000|-3000,DeepStack,qin.youwei.2 
r200c,cr500c,cr1250r2500f,,9d8hKsQc5s7d6d4h,1250|-1250,DeepStack,takeda.tsuneaki.1 
f,,,,3hAd9d4h,50|-50,qin.youwei.1,DeepStack 
k,cr200f,,,5sTc5cTdJs6d2d,-100|100,qin.youwei.2,DeepStack 
r200c,r300r900r1500c,r3750c,r9375f,Js4sTc5c4c2c7s8d4h,3750|-3750,takeda.tsuneaki.1,DeepStack 
r200c,cr500c,k,cr1000c,Qd7dKc5d8cQc8d4hJs,1000|-1000,DeepStack,qin.youwei.2 
r200f,,,,2hTdJsJh,-100|100,DeepStack,takeda.tsuneaki.1 
k,cr300c,cr900c,k,9cKd2d5hTs4d3dTc3s,900|-900,takeda.tsuneaki.1,DeepStack 
r200c,cr600c,k,k,9c6sQc4h8hTcJc6h3d,600|-600,qin.youwei.2,DeepStack 
r300c,cr600f,,,7dKh2h4hAsQdQs,-300|300,qin.youwei.1,DeepStack 
k,cr200c,cr500r1000c,r2000c,4c5s7d6c8s7cAs6dKs,2000|-2000,DeepStack,takeda.tsuneaki.1 
k,cr200c,k,cr500r1500f,3dKh5s2sKd8c7c8hKs,500|-500,DeepStack,qin.youwei.2 
r300r500c,r950c,r1725c,r3825f,Jd6d4c8cKc8dTdTc2h,1725|-1725,takeda.tsuneaki.1,DeepStack 
k,cr200f,,,5dTs5hJsKd2hQs,-100|100,DeepStack,qin.youwei.1 
k,k,cr200f,,9c3dTd7dAd2h5hAc,-100|100,qin.youwei.1,DeepStack 
r200c,cr500f,,,9c3c6cAs7d4sQh,-200|200,DeepStack,takeda.tsuneaki.1 
r200c,r400r1200f,,,Th6hAdJs9hTc4c,-400|400,qin.youwei.2,DeepStack 
cr325r975r1950c,r3900f,,,JhJc5dQd3s8cKs,1950|-1950,takeda.tsuneaki.1,DeepStack 
cr300c,k,k,k,8c5c5d8h5sTs9c2cAh,0|0,DeepStack,takeda.tsuneaki.1 
k,k,r200c,r600f,4sKs8h4hKh3s5c7hTs,200|-200,DeepStack,qin.youwei.2 
r200f,,,,2d7cTcKc,-100|100,DeepStack,qin.youwei.1 
f,,,,Qd6s9c2s,50|-50,qin.youwei.1,DeepStack 
cr300f,,,,8h8c2cQd,100|-100,DeepStack,qin.youwei.1 
r200r500c,k,k,k,JcKcKd7c3s6dAc3h4c,500|-500,takeda.tsuneaki.1,DeepStack 
r200c,k,cr600f,,9h5dJhKsQd2d6cTd,-200|200,qin.youwei.1,DeepStack 
r300c,r600f,,,TdJhQd3dJc8d8c,300|-300,qin.youwei.2,DeepStack 
r200c,k,k,k,Ah6c8c7dTcQh7hQs3d,-200|200,DeepStack,takeda.tsuneaki.1 
cr300c,cr600f,,,8h7c3dTdAcQsAh,-300|300,DeepStack,qin.youwei.2 
r300c,r600f,,,2sAh8c5sAdAs6d,300|-300,takeda.tsuneaki.1,DeepStack 
cr300c,r600f,,,TsQd7d9sKs7sAh,300|-300,DeepStack,qin.youwei.1 
k,cr200f,,,3cJh4s8d9s5dKc,-100|100,DeepStack,takeda.tsuneaki.1 
r300c,k,k,k,6hQd8dAc2c3d5hKs5d,-300|300,qin.youwei.2,DeepStack 
r300c,cr600r1025c,r1900f,,AcTh4c5d2dTs4h7h,1025|-1025,takeda.tsuneaki.1,DeepStack 
r200c,r500r1000c,r2500f,,3d6c8d9h2c9c4cAh,1000|-1000,qin.youwei.1,DeepStack 
r200c,k,k,r600f,Qc2s8sQsKh2h9d4d2c,200|-200,DeepStack,takeda.tsuneaki.1 
cr300c,k,k,r900f,AdQc8d6h3c8hThJh9s,300|-300,DeepStack,qin.youwei.2 
k,k,r200f,,5s7h2d4h9c5cJhJs,100|-100,DeepStack,qin.youwei.1 
f,,,,5dJs3h9s,50|-50,takeda.tsuneaki.1,DeepStack 
r200c,k,k,cr400f,4dKh4sJd8c9s6h9hTc,-200|200,DeepStack,takeda.tsuneaki.1 
f,,,,3d3c5s2d,50|-50,qin.youwei.1,DeepStack 
r200c,cr400c,cr1000c,cr2500f,9h5h9dAcAh2d9c6dTs,-1000|1000,DeepStack,qin.youwei.1 
cr200c,r400f,,,9cKs6hQh7c4dTc,200|-200,qin.youwei.2,DeepStack 
r300f,,,,9s2d8s7s,-100|100,takeda.tsuneaki.1,DeepStack 
r200r600c,cr1375c,cr3437f,,QsKh2cAsThAc4c5h,-1375|1375,DeepStack,takeda.tsuneaki.1 
k,k,k,k,Qd7h5hJhKs5s7s2dKh,100|-100,DeepStack,qin.youwei.2 
r200c,k,r500c,r20000f,7cAcJcJh9dAdAs3s3c,500|-500,takeda.tsuneaki.1,DeepStack 
r300c,cr600c,r1200c,k,9h5dKdQc7c3d8h7h8c,-1200|1200,qin.youwei.1,DeepStack 
r200c,k,cr600c,cr1200f,6hJsKs7dKd9cTd3d6s,-600|600,qin.youwei.2,DeepStack 
r250c,k,cr500c,k,9sKd4h4sQs9d3h7d2c,500|-500,DeepStack,takeda.tsuneaki.1 
r300c,cr600f,,,Ac2sAhJdQd8d7c,-300|300,takeda.tsuneaki.1,DeepStack 
cr300c,r600c,cr1800r5400c,cr16200f,4d4h3cKc3h4cAh9c5c,-5400|5400,DeepStack,qin.youwei.1 
r250f,,,,6h3sJsJh,-100|100,DeepStack,takeda.tsuneaki.1 
k,r200f,,,QdTs9c5d2cQhJh,100|-100,takeda.tsuneaki.1,DeepStack 
r200c,cr425f,,,9hKsTd9c7h5c5h,-200|200,DeepStack,takeda.tsuneaki.1 
r400f,,,,Td6h4d4s,-100|100,DeepStack,qin.youwei.2 
r300c,r600c,r1200f,,8dAh2d2cTsKcAc6h,600|-600,qin.youwei.2,DeepStack 
f,,,,Kh5s3s9h,50|-50,takeda.tsuneaki.1,DeepStack 
cr300f,,,,4hAh5h4d,100|-100,DeepStack,takeda.tsuneaki.1 
r300c,k,k,k,5sJd6d4h4sKdTh5d7h,300|-300,qin.youwei.1,DeepStack 
k,r250f,,,Ts7d2cJs7h4hTh,100|-100,takeda.tsuneaki.1,DeepStack 
r250f,,,,6h3dKhAd,-100|100,DeepStack,takeda.tsuneaki.1 
k,k,k,k,7d3sQc7h6cTc6hKsJh,-100|100,DeepStack,qin.youwei.2 
k,cr200c,k,cr600c,Ac2cThQs5cKd8dKcQd,-600|600,takeda.tsuneaki.1,DeepStack 
r400r1200c,cr2400c,cr6000f,,4s4c6d6s6hTcKd2s,-2400|2400,DeepStack,qin.youwei.1 
r200c,cr425c,k,r849f,7cAd6s8cThAh2s8dKc,425|-425,DeepStack,takeda.tsuneaki.1 
k,k,k,r250c,8sJhAs7dQc2d2cJs7s,250|-250,qin.youwei.2,DeepStack 
k,cr200f,,,2d5c8c7sTd3hTs,-100|100,qin.youwei.1,DeepStack 
r300f,,,,Th3hKsTc,-100|100,takeda.tsuneaki.1,DeepStack 
cr300r500r1500f,,,,JhJcKc6c,500|-500,DeepStack,qin.youwei.2 
r200c,k,k,k,3dAsQcJh6sTd8d2sKd,200|-200,DeepStack,qin.youwei.1 
r200c,cr400f,,,Qd4s9hKsJd6d2c,-200|200,DeepStack,takeda.tsuneaki.1 
k,cr300c,k,cr600c,Jc2d9d4s7c9s8cKh2s,-600|600,takeda.tsuneaki.1,DeepStack 
r300c,r750r1500c,k,r3750c,6s5hQs5c3h4d5dTs2h,3750|-3750,qin.youwei.2,DeepStack 
r300c,cr600c,cr1800f,,JhTs9d6h4d3s2hKd,-600|600,qin.youwei.1,DeepStack 
r225c,cr525f,,,Ts6dAs5d7h3hAh,-225|225,DeepStack,takeda.tsuneaki.1 
cr300c,cr600c,cr1200f,,6cQcTd3h8dAs5cTh,-600|600,DeepStack,qin.youwei.2 
r200c,k,k,r400f,2sAc2cAsKhTd6s5dJs,200|-200,DeepStack,qin.youwei.1 
r200c,cr400f,,,3h4cAhJs7cJd2s,-200|200,takeda.tsuneaki.1,DeepStack 
k,k,k,k,6sQc3sKd2cAcJdJh9d,-100|100,DeepStack,takeda.tsuneaki.1 
r200f,,,,2d7dTs4s,-100|100,qin.youwei.1,DeepStack 
r300f,,,,5hQh8cAh,-100|100,qin.youwei.2,DeepStack 
cr200c,r425c,r875c,r1800c,Kd2d5dKcKhTcAh2s2c,1800|-1800,takeda.tsuneaki.1,DeepStack 
k,k,k,k,7s2h5dJc2cTsKcQh4s,100|-100,DeepStack,qin.youwei.1 
r200r600c,k,cr1800c,cr4500c,9dQdJsTh4cTcQhTd2s,-4500|4500,DeepStack,qin.youwei.2 
r300c,r750f,,,4s3d9dAh5d3c7h,300|-300,qin.youwei.1,DeepStack 
k,cr200f,,,6s3h4c6h9cQdAd,-100|100,DeepStack,takeda.tsuneaki.1 
k,k,k,k,Qc3hQs7hAcKs6s8c6d,0|0,DeepStack,qin.youwei.1 
r300c,cr600f,,,6c7h6hJd3hKs9h,-300|300,qin.youwei.2,DeepStack 
r300f,,,,6hTd5hJd,-100|100,takeda.tsuneaki.1,DeepStack 
f,,,,TcKc2d7c,50|-50,DeepStack,takeda.tsuneaki.1 
k,cr200c,cr400f,,2hKs4hAd3dQs6s8d,-200|200,takeda.tsuneaki.1,DeepStack 
r300f,,,,8c2dKdQc,-100|100,DeepStack,qin.youwei.2 
r200r600c,r1200c,cr2500c,k,KdJh7d6d6cKhKc9s8s,2500|-2500,DeepStack,takeda.tsuneaki.1 
k,r250f,,,8hKc5c9d6h4sTc,100|-100,qin.youwei.2,DeepStack 
k,r250c,r625f,,5dQdKh6h8sQs4dJh,250|-250,qin.youwei.1,DeepStack 
cr300f,,,,AdTh7c3d,100|-100,DeepStack,qin.youwei.2 
r200c,cr400f,,,Kc4h9hAh9dTc8s,-200|200,takeda.tsuneaki.1,DeepStack 
cr300f,,,,8cTc3h7s,100|-100,DeepStack,qin.youwei.1 
r200r600c,cr1275c,k,k,7dKdQs6h9s2s7s8h6d,1275|-1275,DeepStack,takeda.tsuneaki.1 
k,k,cr200f,,6cTc8h2hQcJh2dJs,-100|100,qin.youwei.1,DeepStack 
k,k,k,k,2sKdTs2d4cTcQhAs3c,-100|100,qin.youwei.2,DeepStack 
r300c,k,k,cr600f,Kh9sQdQhTh3hAdQs2d,-300|300,takeda.tsuneaki.1,DeepStack 
r200c,cr500c,cr1000c,r2000f,5c6h2d6cAh5h8dTh5s,1000|-1000,DeepStack,qin.youwei.1 
k,k,k,k,7h3cJs2sTdAc5c9h7d,100|-100,DeepStack,qin.youwei.2 
r200c,cr425f,,,8dKh5c7c3s2h4d,-200|200,DeepStack,takeda.tsuneaki.1 
f,,,,9sKs2h3d,50|-50,qin.youwei.1,DeepStack 
r300r900c,cr2250c,cr5625f,,KhAh3h3sTs2d5d6d,-2250|2250,DeepStack,qin.youwei.1 
r300c,cr600c,cr1800c,k,5d3h8d7h3s3c4cKh8c,1800|-1800,takeda.tsuneaki.1,DeepStack 
r300c,k,k,cr600f,6h7dAc6d9cAdJc9d2s,-300|300,qin.youwei.2,DeepStack 
r300f,,,,Qc4d8h6c,-100|100,qin.youwei.1,DeepStack 
r225f,,,,2s3cJcAs,-100|100,DeepStack,takeda.tsuneaki.1 
k,k,k,r200f,4hAc8h6dAd2s2d5dKh,100|-100,DeepStack,qin.youwei.1 
cr325f,,,,8hTcQs2d,100|-100,takeda.tsuneaki.1,DeepStack 
r225c,cr525f,,,9cJh5h7d6sKcAh,-225|225,DeepStack,takeda.tsuneaki.1 
f,,,,6d7c9d2s,50|-50,takeda.tsuneaki.1,DeepStack 
r400f,,,,7sQhJhQs,-100|100,DeepStack,qin.youwei.2 
f,,,,2s7s3h8d,50|-50,DeepStack,takeda.tsuneaki.1 
r200c,cr400f,,,2s3cTd2dJd4s6s,-200|200,takeda.tsuneaki.1,DeepStack 
r200c,cr400f,,,Qc9c6c6h5sTh5d,-200|200,qin.youwei.2,DeepStack 
r300c,cr600f,,,2s4h9hTc5hQdQh,-300|300,qin.youwei.1,DeepStack 
r225r675f,,,,ThAhTcJh,225|-225,DeepStack,takeda.tsuneaki.1 
f,,,,3s9cTh2d,50|-50,DeepStack,qin.youwei.1 
k,cr200c,k,k,8dJh7h5sKc5c8sTsAc,200|-200,DeepStack,qin.youwei.2 
cr225c,k,r525f,,9d9h8s6dJcAsTd4c,225|-225,takeda.tsuneaki.1,DeepStack 
k,cr200f,,,3hQs7c4sJhAd5c,-100|100,qin.youwei.1,DeepStack 
r225f,,,,5d8c8hKh,-100|100,DeepStack,takeda.tsuneaki.1 
k,r200c,r600f,,As8dKh4d5h8c7hJs,200|-200,DeepStack,qin.youwei.1 
cr275f,,,,9d9sTs2d,100|-100,takeda.tsuneaki.1,DeepStack 
f,,,,As3d3c9h,50|-50,qin.youwei.2,DeepStack 
r200f,,,,2h7dQsKh,-100|100,DeepStack,qin.youwei.2 
r225c,cr425r850r1275c,k,cr2100f,Qh7hTc8sTh8d4h8c6c,-1275|1275,DeepStack,takeda.tsuneaki.1 
r300r1100c,r2750c,r6875f,,KhAs6c6hTd7s7hTc,2750|-2750,qin.youwei.1,DeepStack 
r200r500f,,,,JsQc4h6c,200|-200,qin.youwei.2,DeepStack 
k,k,k,k,2h4d5c4s6dJsAs8hJh,0|0,DeepStack,qin.youwei.2 
r200r600c,cr1500c,cr4500f,,6h6d3c3d8dKd3hKh,-1500|1500,DeepStack,qin.youwei.1 
f,,,,KcQd7h3d,50|-50,qin.youwei.2,DeepStack 
r300c,k,k,k,KsTd5s8s6s8cAc9h6c,-300|300,takeda.tsuneaki.1,DeepStack 
cr200c,cr600f,,,QhTs5sTd5h4h2s,-200|200,qin.youwei.1,DeepStack 
cr300f,,,,7d8d3c4h,100|-100,DeepStack,qin.youwei.2 
r225f,,,,3h6cTdJd,-100|100,DeepStack,takeda.tsuneaki.1 
r200c,r500c,r1500f,,6hTd5d6s6dTh4d9c,500|-500,qin.youwei.2,DeepStack 
cr300c,cr600c,cr1800f,,7s7dQs6s5h8hAhQh,-600|600,DeepStack,qin.youwei.1 
r300c,cr600r1025f,,,7cTc3c4d8c9hJd,600|-600,takeda.tsuneaki.1,DeepStack 
r500f,,,,Qc3sTdTh,-100|100,DeepStack,qin.youwei.2 
cr300c,r600f,,,2d2c8h9cAd7c4h,300|-300,DeepStack,takeda.tsuneaki.1 
f,,,,6c7h6h2c,50|-50,qin.youwei.2,DeepStack 
cr300c,k,k,r600c,Js6s5h6h5s8cAc2dTc,-600|600,DeepStack,qin.youwei.2 
k,cr200f,,,Jc5d9d4hKsQdKd,-100|100,qin.youwei.1,DeepStack 
r300c,cr600c,k,k,Qd9c5d8h2dKdJc5sJs,-600|600,takeda.tsuneaki.1,DeepStack 
r200r600c,r1200c,k,k,7c7dKd3d6d5dAh4h4c,1200|-1200,DeepStack,qin.youwei.1 
f,,,,3hAh3cJs,50|-50,DeepStack,takeda.tsuneaki.1 
r300c,k,cr600c,cr1800f,8s7hJhAd7cAcQh4hTd,-600|600,qin.youwei.2,DeepStack 
k,cr300r625c,r1400f,,8s9s4hTdTs9d5s6d,625|-625,takeda.tsuneaki.1,DeepStack 
r300c,cr600c,cr1800f,,7cAdQcTdQd5sTc3s,-600|600,qin.youwei.1,DeepStack 
k,cr225f,,,Kc6h5s4h4s2c9d,-100|100,DeepStack,takeda.tsuneaki.1 
f,,,,6d3h2s6c,50|-50,DeepStack,qin.youwei.2 
r200c,cr600f,,,4s5hAs8sQdTcJs,-200|200,takeda.tsuneaki.1,DeepStack 
